date,week,name,ipeds_id,total_tests,positive_tests,cumulative_cases,cumulative_tests,testing_fall2020,status,status_merge,total_tests_per_1000_enrollment,positive_tests_per_1000_enrollment,cumulative_cases_per_1000_enrollment,cumulative_tests_per_1000_enrollment,enrollment_fulltime,fips,city
2020-10-04,9,Amherst College,164465,962,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,518.5983827493261,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-05,9,Amherst College,164465,351,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,189.21832884097034,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-06,9,Amherst College,164465,1102,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,594.0700808625337,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-07,9,Amherst College,164465,3,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,1.6172506738544474,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-08,9,Amherst College,164465,1152,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,621.0242587601078,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-09,9,Amherst College,164465,279,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,150.4043126684636,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-10,10,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-11,10,Amherst College,164465,958,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,516.4420485175202,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-12,10,Amherst College,164465,335,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,180.59299191374663,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-13,10,Amherst College,164465,1102,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,594.0700808625337,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-14,10,Amherst College,164465,5,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,2.6954177897574128,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-15,10,Amherst College,164465,1153,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,621.5633423180593,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-16,10,Amherst College,164465,292,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,157.4123989218329,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-17,11,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-18,11,Amherst College,164465,971,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,523.4501347708896,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-19,11,Amherst College,164465,351,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,189.21832884097034,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-20,11,Amherst College,164465,1098,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,591.9137466307277,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-10-21,11,Amherst College,164465,14,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,7.547169811320755,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
